Sleep time (in seconds)     Number of producers     Number of consumers     Turnaround time (in milliseconds)
6                           1                       1                       6001.26
6                           4                       1                       6004.61
6                           16                      1                       6005.11
6                           1                       2                       6005.24
6                           4                       2                       6005.11
6                           16                      2                       6005.05
6                           1                       4                       6001.23
6                           4                       4                       6004.35
6                           16                      4                       6005.59
6                           1                       16                      6005.03
6                           4                       16                      6005.55
6                           16                      16                      6004.78
