Sleep time (in seconds)     Number of producers     Number of consumers     Turnaround time (in milliseconds)
2                           1                       1                       2002.22
2                           4                       1                       2004.59
2                           16                      1                       2001.78
2                           1                       2                       2004.3
2                           4                       2                       2005.1
2                           16                      2                       2005.82
2                           1                       4                       2004.73
2                           4                       4                       2000.36
2                           16                      4                       2005.63
2                           1                       16                      2005.38
2                           4                       16                      2005.24
2                           16                      16                      2005.64
